Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Away_status,Win,Score,Opp Score,Player
2003,2003-10-19,7,7,,TEN,CAR,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,37,17,Joe Nedney
2003,2003-10-26,8,8,,TEN,JAX,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,30,17,Joe Nedney
2003,2003-11-09,9,10,,TEN,MIA,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,31,7,Joe Nedney
2003,2003-11-16,10,11,,TEN,JAX,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,10,3,Joe Nedney
2003,2003-11-23,11,12,,TEN,ATL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,38,31,Joe Nedney
2003,2003-12-01,12,13,,TEN,NYJ,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,17,24,Joe Nedney
2003,2003-12-07,13,14,,TEN,IND,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,27,29,Joe Nedney
2003,2003-12-14,14,15,,TEN,BUF,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,28,26,Joe Nedney
2003,2003-12-21,15,16,,TEN,HOU,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,27,24,Joe Nedney
2003,2003-12-28,16,17,,TEN,TAM,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,33,13,Joe Nedney
2005,2005-09-11,1,1,32.173,SFO,STL,False,4,4,100.0,,,,0,4,0.0,,,,,,False,True,28,25,Joe Nedney
2005,2005-09-18,2,2,32.180,SFO,PHI,False,,,,1,1,100.0,0,3,0.0,,,,,,True,False,3,42,Joe Nedney
2005,2005-09-25,3,3,32.187,SFO,DAL,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,False,False,31,34,Joe Nedney
2005,2005-10-02,4,4,32.194,SFO,ARI,False,2,2,100.0,,,,0,2,0.0,,,,,,True,False,14,31,Joe Nedney
2005,2005-10-09,5,5,32.201,SFO,IND,False,,,,1,1,100.0,0,3,0.0,,,,,,False,False,3,28,Joe Nedney
2005,2005-10-23,6,7,32.215,SFO,WAS,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,True,False,17,52,Joe Nedney
2005,2005-10-30,7,8,32.222,SFO,TAM,False,,,,5,6,83.3,0,15,0.0,,,,,,False,True,15,10,Joe Nedney
2005,2005-11-06,8,9,32.229,SFO,NYG,False,,,,2,2,100.0,0,6,0.0,,,,,,False,False,6,24,Joe Nedney
2005,2005-11-13,9,10,32.236,SFO,CHI,False,,,,3,4,75.0,0,9,0.0,,,,,,True,False,9,17,Joe Nedney
2005,2005-11-20,10,11,32.243,SFO,SEA,False,1,1,100.0,4,4,100.0,0,13,0.0,,,,,,False,False,25,27,Joe Nedney
2005,2005-11-27,11,12,,SFO,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,22,33,Joe Nedney
2005,2005-12-04,12,13,32.257,SFO,ARI,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,False,False,10,17,Joe Nedney
2005,2005-12-11,13,14,32.264,SFO,SEA,False,,,,1,1,100.0,0,3,0.0,,,,,,True,False,3,41,Joe Nedney
2005,2005-12-18,14,15,32.271,SFO,JAX,False,,,,3,3,100.0,0,9,0.0,,,,,,True,False,9,10,Joe Nedney
2005,2005-12-24,15,16,32.277,SFO,STL,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,True,True,24,20,Joe Nedney
2005,2006-01-01,16,17,32.285,SFO,HOU,False,2,2,100.0,2,2,100.0,0,8,0.0,1,0,1,0,,False,True,20,17,Joe Nedney
2006,2006-09-10,1,1,33.172,SFO,ARI,False,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,True,False,27,34,Joe Nedney
2006,2006-09-17,2,2,33.179,SFO,STL,False,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,False,True,20,13,Joe Nedney
2006,2006-09-24,3,3,33.186,SFO,PHI,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,False,False,24,38,Joe Nedney
2006,2006-10-01,4,4,33.193,SFO,KAN,False,,,,,1,0.0,0,0,0.0,,,,,,True,False,0,41,Joe Nedney
2006,2006-10-08,5,5,33.200,SFO,OAK,False,4,4,100.0,2,3,66.7,0,10,0.0,,,,,,False,True,34,20,Joe Nedney
2006,2006-10-15,6,6,33.207,SFO,SDG,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,False,False,19,48,Joe Nedney
2006,2006-10-29,7,8,33.221,SFO,CHI,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,True,False,10,41,Joe Nedney
2006,2006-11-05,8,9,33.228,SFO,MIN,False,,,,3,3,100.0,0,9,0.0,,,,,,False,True,9,3,Joe Nedney
2006,2006-11-12,9,10,33.235,SFO,DET,False,1,1,100.0,4,4,100.0,0,13,0.0,,,,,,True,True,19,13,Joe Nedney
2006,2006-11-19,10,11,33.242,SFO,SEA,False,2,2,100.0,2,4,50.0,0,8,0.0,,,,,,False,True,20,14,Joe Nedney
2006,2006-11-26,11,12,33.249,SFO,STL,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,True,False,17,20,Joe Nedney
2006,2006-12-03,12,13,33.256,SFO,NOR,False,1,1,100.0,1,1,100.0,0,4,0.0,1,0,1,0,0,True,False,10,34,Joe Nedney
2006,2006-12-10,13,14,33.263,SFO,GNB,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,False,False,19,30,Joe Nedney
2006,2006-12-14,14,15,33.267,SFO,SEA,False,3,3,100.0,1,1,100.0,0,6,0.0,1,0,1,0,0,True,True,24,14,Joe Nedney
2006,2006-12-24,15,16,33.277,SFO,ARI,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,False,False,20,26,Joe Nedney
2006,2006-12-31,16,17,33.284,SFO,DEN,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,0,True,True,26,23,Joe Nedney
2007,2007-09-10,1,1,34.172,SFO,ARI,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,False,True,20,17,Joe Nedney
2007,2007-09-16,2,2,34.178,SFO,STL,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,True,True,17,16,Joe Nedney
2007,2007-09-23,3,3,34.185,SFO,PIT,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,True,False,16,37,Joe Nedney
2007,2007-09-30,4,4,34.192,SFO,SEA,False,,,,1,1,100.0,0,3,0.0,,,,,,False,False,3,23,Joe Nedney
2007,2007-10-07,5,5,34.199,SFO,BAL,False,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,0,0,False,False,7,9,Joe Nedney
2007,2007-10-21,6,7,34.213,SFO,NYG,False,1,1,100.0,,,,0,1,0.0,,,,,,True,False,15,33,Joe Nedney
2007,2007-10-28,7,8,34.220,SFO,NOR,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,False,False,10,31,Joe Nedney
2007,2007-11-04,8,9,34.227,SFO,ATL,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,True,False,16,20,Joe Nedney
2007,2007-11-12,9,10,34.235,SFO,SEA,False,,,,,,,0,0,0.0,,,,,,True,False,0,24,Joe Nedney
2007,2007-11-18,10,11,34.241,SFO,STL,False,,,,3,3,100.0,0,9,0.0,,,,,,False,False,9,13,Joe Nedney
2007,2007-11-25,11,12,34.248,SFO,ARI,False,4,4,100.0,1,2,50.0,0,7,0.0,,,,,,True,True,37,31,Joe Nedney
2007,2007-12-02,12,13,34.255,SFO,CAR,False,2,2,100.0,,,,0,2,0.0,,,,,,True,False,14,31,Joe Nedney
2007,2007-12-09,13,14,34.262,SFO,MIN,False,1,1,100.0,,,,0,1,0.0,0,0,0,0,0,False,False,7,27,Joe Nedney
2007,2007-12-15,14,15,34.268,SFO,CIN,False,2,2,100.0,2,2,100.0,0,8,0.0,1,0,1,0,0,False,True,20,13,Joe Nedney
2007,2007-12-23,15,16,34.276,SFO,TAM,False,3,3,100.0,,,,0,3,0.0,1,0,1,0,0,False,True,21,19,Joe Nedney
2007,2007-12-30,16,17,34.283,SFO,CLE,False,1,1,100.0,,,,0,1,0.0,,,,,,True,False,7,20,Joe Nedney
2008,2008-09-07,1,1,35.169,SFO,ARI,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,False,False,13,23,Joe Nedney
2008,2008-09-14,2,2,35.176,SFO,SEA,False,3,3,100.0,4,5,80.0,0,15,0.0,0,0,0,,,True,True,33,30,Joe Nedney
2008,2008-09-21,3,3,35.183,SFO,DET,False,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,,,False,True,31,13,Joe Nedney
2008,2008-09-28,4,4,35.190,SFO,NOR,False,,,,3,3,100.0,0,9,0.0,0,0,0,,,True,False,17,31,Joe Nedney
2008,2008-10-05,5,5,35.197,SFO,NWE,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,False,False,21,30,Joe Nedney
2008,2008-10-12,6,6,35.204,SFO,PHI,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,,,False,False,26,40,Joe Nedney
2008,2008-10-19,7,7,35.211,SFO,NYG,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,True,False,17,29,Joe Nedney
2008,2008-10-26,8,8,35.218,SFO,SEA,False,1,1,100.0,2,2,100.0,0,7,0.0,1,0,1,0,0,False,False,13,34,Joe Nedney
2008,2008-11-10,9,10,35.233,SFO,ARI,False,3,3,100.0,1,1,100.0,0,6,0.0,1,0,1,0,0,True,False,24,29,Joe Nedney
2008,2008-11-16,10,11,35.239,SFO,STL,False,5,5,100.0,,,,0,5,0.0,0,0,0,,,False,True,35,16,Joe Nedney
2008,2008-11-23,11,12,35.246,SFO,DAL,False,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,,,True,False,22,35,Joe Nedney
2008,2008-11-30,12,13,35.253,SFO,BUF,False,1,1,100.0,1,1,100.0,0,4,0.0,1,0,1,0,0,True,True,10,3,Joe Nedney
2008,2008-12-07,13,14,35.260,SFO,NYJ,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,False,True,24,14,Joe Nedney
2008,2008-12-14,14,15,35.267,SFO,MIA,False,,,,3,3,100.0,0,9,0.0,0,0,0,,,True,False,9,14,Joe Nedney
2008,2008-12-21,15,16,35.274,SFO,STL,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,True,True,17,16,Joe Nedney
2008,2008-12-28,16,17,35.281,SFO,WAS,False,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,,,False,True,27,24,Joe Nedney
2009,2009-09-13,1,1,36.175,SFO,ARI,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,True,True,20,16,Joe Nedney
2009,2009-09-20,2,2,36.182,SFO,SEA,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,False,True,23,10,Joe Nedney
2009,2009-09-27,3,3,36.189,SFO,MIN,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,True,False,24,27,Joe Nedney
2009,2009-10-04,4,4,36.196,SFO,STL,False,5,5,100.0,,1,0.0,0,5,0.0,0,0,0,,,False,True,35,0,Joe Nedney
2009,2009-10-11,5,5,36.203,SFO,ATL,False,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,False,False,10,45,Joe Nedney
2009,2009-10-25,6,7,36.217,SFO,HOU,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,True,False,21,24,Joe Nedney
2009,2009-11-01,7,8,36.224,SFO,IND,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,True,False,14,18,Joe Nedney
2009,2009-11-08,8,9,36.231,SFO,TEN,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,False,False,27,34,Joe Nedney
2009,2009-11-12,9,10,36.235,SFO,CHI,False,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,False,True,10,6,Joe Nedney
2009,2009-11-22,10,11,36.245,SFO,GNB,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,True,False,24,30,Joe Nedney
2009,2009-11-29,11,12,36.252,SFO,JAX,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,False,True,20,3,Joe Nedney
2009,2009-12-06,12,13,36.259,SFO,SEA,False,2,2,100.0,1,1,100.0,0,5,0.0,1,0,1,0,0,True,False,17,20,Joe Nedney
2009,2009-12-14,13,14,36.267,SFO,ARI,False,3,3,100.0,1,2,50.0,0,6,0.0,1,0,1,0,0,False,True,24,9,Joe Nedney
2009,2009-12-20,14,15,36.273,SFO,PHI,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,True,False,13,27,Joe Nedney
2009,2009-12-27,15,16,,SFO,DET,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,20,6,Joe Nedney
2009,2010-01-03,16,17,,SFO,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,28,6,Joe Nedney
2010,2010-09-12,1,1,37.174,SFO,SEA,False,,,,2,2,100.0,0,6,0.0,1,0,1,0,0,True,False,6,31,Joe Nedney
2010,2010-09-20,2,2,37.182,SFO,NOR,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,False,False,22,25,Joe Nedney
2010,2010-09-26,3,3,37.188,SFO,KAN,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,True,False,10,31,Joe Nedney
2010,2010-10-03,4,4,37.195,SFO,ATL,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,True,False,14,16,Joe Nedney
2010,2010-10-10,5,5,37.202,SFO,PHI,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,False,False,24,27,Joe Nedney
2010,2010-10-17,6,6,37.209,SFO,OAK,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,False,True,17,9,Joe Nedney
2010,2010-10-24,7,7,37.216,SFO,CAR,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,True,False,20,23,Joe Nedney
2010,2010-10-31,8,8,37.223,SFO,DEN,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,False,True,24,16,Joe Nedney
2010,2010-11-14,9,10,37.237,SFO,STL,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,False,True,23,20,Joe Nedney
2010,2010-11-21,10,11,,SFO,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,0,21,Joe Nedney
2010,2010-11-29,11,12,,SFO,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,27,6,Joe Nedney
2010,2010-12-05,12,13,,SFO,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,16,34,Joe Nedney
2010,2010-12-12,13,14,,SFO,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,40,21,Joe Nedney
2010,2010-12-16,14,15,,SFO,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,34,Joe Nedney
2010,2010-12-26,15,16,,SFO,STL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,17,25,Joe Nedney
2010,2011-01-02,16,17,,SFO,ARI,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,38,7,Joe Nedney
,175 Games,,,,,,False,345,348,99.1,256,319,80.3,0,1113,0.0,22,1,23,0,0,False,False,98,0,Joe Nedney
