Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2013,2013-09-08,1,1,21.139,NOR,,ATL,W 23-17,False,5,2,86,43.00,0,40.0%,17.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,36,52%,0,0%,0,0%,False,Kenny Stills
2013,2013-09-15,2,2,21.146,NOR,@,TAM,W 16-14,True,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,50,68%,0,0%,0,0%,True,Kenny Stills
2013,2013-09-22,3,3,21.153,NOR,,ARI,W 31-7,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,58,77%,0,0%,0,0%,False,Kenny Stills
2013,2013-09-30,4,4,21.161,NOR,,MIA,W 38-17,False,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,35,52%,0,0%,0,0%,False,Kenny Stills
2013,2013-10-06,5,5,21.167,NOR,@,CHI,W 26-18,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,39,59%,0,0%,0,0%,True,Kenny Stills
2013,2013-10-13,6,6,21.174,NOR,@,NWE,L 27-30,True,3,3,64,21.33,1,100.0%,21.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,41,63%,0,0%,0,0%,True,Kenny Stills
2013,2013-10-27,7,8,21.188,NOR,,BUF,W 35-17,True,4,3,129,43.00,2,75.0%,32.25,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0,0,0,0,0,0,39,56%,0,0%,0,0%,False,Kenny Stills
2013,2013-11-03,8,9,21.195,NOR,@,NYJ,L 20-26,False,5,3,35,11.67,0,60.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,40,54%,0,0%,0,0%,True,Kenny Stills
2013,2013-11-10,9,10,21.202,NOR,,DAL,W 49-17,True,4,3,75,25.00,1,75.0%,18.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,51,61%,0,0%,0,0%,False,Kenny Stills
2013,2013-11-17,10,11,21.209,NOR,,SFO,W 23-20,False,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,42,61%,0,0%,0,0%,False,Kenny Stills
2013,2013-11-21,11,12,21.213,NOR,@,ATL,W 17-13,True,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,36,60%,0,0%,0,0%,True,Kenny Stills
2013,2013-12-02,12,13,21.224,NOR,@,SEA,L 7-34,True,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,31,52%,0,0%,0,0%,True,Kenny Stills
2013,2013-12-08,13,14,21.230,NOR,,CAR,W 31-13,True,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,40,62%,0,0%,0,0%,False,Kenny Stills
2013,2013-12-15,14,15,21.237,NOR,@,STL,L 16-27,True,4,4,47,11.75,0,100.0%,11.75,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,67,78%,0,0%,0,0%,True,Kenny Stills
2013,2013-12-22,15,16,21.244,NOR,@,CAR,L 13-17,True,4,2,23,11.50,0,50.0%,5.75,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,48,59%,0,0%,0,0%,True,Kenny Stills
2013,2013-12-29,16,17,21.251,NOR,,TAM,W 42-17,False,1,1,76,76.00,1,100.0%,76.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,37,59%,0,0%,0,0%,False,Kenny Stills
2014,2014-09-07,1,1,,NOR,@,ATL,L 34-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kenny Stills
2014,2014-09-14,2,2,22.145,NOR,@,CLE,L 24-26,True,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,29,42%,0,0%,0,0%,True,Kenny Stills
2014,2014-09-21,3,3,22.152,NOR,,MIN,W 20-9,True,5,4,38,9.50,0,80.0%,7.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,42,59%,0,0%,0,0%,False,Kenny Stills
2014,2014-09-28,4,4,22.159,NOR,@,DAL,L 17-38,True,3,2,62,31.00,0,66.7%,20.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,45,74%,0,0%,0,0%,True,Kenny Stills
2014,2014-10-05,5,5,22.166,NOR,,TAM,W 37-31,False,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,44,48%,0,0%,0,0%,False,Kenny Stills
2014,2014-10-19,6,7,22.180,NOR,@,DET,L 23-24,False,5,5,103,20.60,1,100.0%,20.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,47,64%,0,0%,1,4%,True,Kenny Stills
2014,2014-10-26,7,8,22.187,NOR,,GNB,W 44-23,False,4,4,57,14.25,0,100.0%,14.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,31,46%,0,0%,0,0%,False,Kenny Stills
2014,2014-10-30,8,9,22.191,NOR,@,CAR,W 28-10,False,8,5,72,14.40,0,62.5%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,1,0,0,0,0,0,26,34%,0,0%,0,0%,True,Kenny Stills
2014,2014-11-09,9,10,22.201,NOR,,SFO,L 24-27,True,6,3,26,8.67,0,50.0%,4.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,62,77%,0,0%,0,0%,False,Kenny Stills
2014,2014-11-16,10,11,22.208,NOR,,CIN,L 10-27,True,4,4,32,8.00,1,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,40,56%,0,0%,0,0%,False,Kenny Stills
2014,2014-11-24,11,12,22.216,NOR,,BAL,L 27-34,True,9,8,98,12.25,0,88.9%,10.89,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,51,70%,0,0%,0,0%,False,Kenny Stills
2014,2014-11-30,12,13,22.222,NOR,@,PIT,W 35-32,False,6,5,162,32.40,1,83.3%,27.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,25,45%,0,0%,0,0%,True,Kenny Stills
2014,2014-12-07,13,14,22.229,NOR,,CAR,L 10-41,False,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,50,71%,0,0%,1,3%,False,Kenny Stills
2014,2014-12-15,14,15,22.237,NOR,@,CHI,W 31-15,True,7,5,67,13.40,0,71.4%,9.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,43,63%,0,0%,0,0%,True,Kenny Stills
2014,2014-12-21,15,16,22.243,NOR,,ATL,L 14-30,False,8,6,68,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,47,67%,0,0%,0,0%,False,Kenny Stills
2014,2014-12-28,16,17,22.250,NOR,@,TAM,W 23-20,False,7,5,82,16.40,0,71.4%,11.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,35,54%,0,0%,0,0%,True,Kenny Stills
2015,2015-09-13,1,1,23.144,MIA,@,WAS,W 17-10,False,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,22,39%,0,0%,0,0%,True,Kenny Stills
2015,2015-09-20,2,2,23.151,MIA,@,JAX,L 20-23,False,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,35,51%,0,0%,0,0%,True,Kenny Stills
2015,2015-09-27,3,3,23.158,MIA,,BUF,L 14-41,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,40,53%,0,0%,0,0%,False,Kenny Stills
2015,2015-10-04,4,4,23.165,MIA,,NYJ,L 14-27,False,8,5,81,16.20,1,62.5%,10.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,28,44%,0,0%,0,0%,False,Kenny Stills
2015,2015-10-18,5,6,23.179,MIA,@,TEN,W 38-10,True,2,2,46,23.00,0,100.0%,23.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,28,42%,0,0%,0,0%,True,Kenny Stills
2015,2015-10-25,6,7,23.186,MIA,,HOU,W 44-26,True,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,48,76%,0,0%,0,0%,False,Kenny Stills
2015,2015-10-29,7,8,23.190,MIA,@,NWE,L 7-36,True,7,3,58,19.33,0,42.9%,8.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,52,83%,0,0%,0,0%,True,Kenny Stills
2015,2015-11-08,8,9,23.200,MIA,@,BUF,L 17-33,True,5,3,74,24.67,0,60.0%,14.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,44,64%,0,0%,0,0%,True,Kenny Stills
2015,2015-11-15,9,10,23.207,MIA,@,PHI,W 20-19,False,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,37,55%,0,0%,0,0%,True,Kenny Stills
2015,2015-11-22,10,11,23.214,MIA,,DAL,L 14-24,True,2,2,52,26.00,1,100.0%,26.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,36,75%,0,0%,0,0%,False,Kenny Stills
2015,2015-11-29,11,12,23.221,MIA,@,NYJ,L 20-38,True,10,2,12,6.00,0,20.0%,1.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,52,72%,0,0%,1,3%,True,Kenny Stills
2015,2015-12-06,12,13,23.228,MIA,,BAL,W 15-13,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,21,44%,0,0%,0,0%,False,Kenny Stills
2015,2015-12-14,13,14,23.236,MIA,,NYG,L 24-31,False,3,2,49,24.50,1,66.7%,16.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,46,69%,0,0%,0,0%,False,Kenny Stills
2015,2015-12-20,14,15,23.242,MIA,@,SDG,L 14-30,False,6,1,23,23.00,0,16.7%,3.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,45,79%,0,0%,0,0%,True,Kenny Stills
2015,2015-12-27,15,16,23.249,MIA,,IND,L 12-18,False,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,40,56%,0,0%,0,0%,False,Kenny Stills
2015,2016-01-03,16,17,23.256,MIA,,NWE,W 20-10,True,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,20,27%,0,0%,0,0%,False,Kenny Stills
2016,2016-09-11,1,1,24.142,MIA,@,SEA,L 10-12,True,5,1,16,16.00,0,20.0%,3.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,True,Kenny Stills
2016,2016-09-18,2,2,24.149,MIA,@,NWE,L 24-31,True,4,2,39,19.50,1,50.0%,9.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,63,98%,0,0%,0,0%,True,Kenny Stills
2016,2016-09-25,3,3,24.156,MIA,,CLE,W 30-24,True,8,5,76,15.20,0,62.5%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,65,97%,0,0%,0,0%,False,Kenny Stills
2016,2016-09-29,4,4,24.160,MIA,@,CIN,L 7-22,True,3,1,74,74.00,1,33.3%,24.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,45,100%,0,0%,0,0%,True,Kenny Stills
2016,2016-10-09,5,5,24.170,MIA,,TEN,L 17-30,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,35,80%,0,0%,0,0%,False,Kenny Stills
2016,2016-10-16,6,6,24.177,MIA,,PIT,W 30-15,True,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,54,77%,0,0%,0,0%,False,Kenny Stills
2016,2016-10-23,7,7,24.184,MIA,,BUF,W 28-25,True,8,5,100,20.00,1,62.5%,12.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,68,93%,0,0%,0,0%,False,Kenny Stills
2016,2016-11-06,8,9,24.198,MIA,,NYJ,W 27-23,True,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,15,24%,0,0%,0,0%,False,Kenny Stills
2016,2016-11-13,9,10,24.205,MIA,@,SDG,W 31-24,True,3,2,47,23.50,1,66.7%,15.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,36,71%,0,0%,0,0%,True,Kenny Stills
2016,2016-11-20,10,11,24.212,MIA,@,LAR,W 14-10,True,9,4,33,8.25,0,44.4%,3.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,50,83%,0,0%,0,0%,True,Kenny Stills
2016,2016-11-27,11,12,24.219,MIA,,SFO,W 31-24,True,6,3,72,24.00,1,50.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,51,86%,0,0%,0,0%,False,Kenny Stills
2016,2016-12-04,12,13,24.226,MIA,@,BAL,L 6-38,True,5,2,21,10.50,0,40.0%,4.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,True,Kenny Stills
2016,2016-12-11,13,14,24.233,MIA,,ARI,W 26-23,True,7,6,97,16.17,1,85.7%,13.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,57,95%,0,0%,0,0%,False,Kenny Stills
2016,2016-12-17,14,15,24.239,MIA,@,NYJ,W 34-13,True,3,1,52,52.00,1,33.3%,17.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,26,54%,0,0%,0,0%,True,Kenny Stills
2016,2016-12-24,15,16,24.246,MIA,@,BUF,W 34-31,True,8,3,35,11.67,1,37.5%,4.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,59,86%,0,0%,0,0%,True,Kenny Stills
2016,2017-01-01,16,17,24.254,MIA,,NWE,L 14-35,True,7,4,41,10.25,1,57.1%,5.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,55,93%,0,0%,0,0%,False,Kenny Stills
2017,2017-09-17,1,2,25.148,MIA,@,LAC,W 19-17,True,5,2,37,18.50,1,40.0%,7.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,60,88%,0,0%,0,0%,True,Kenny Stills
2017,2017-09-24,2,3,25.155,MIA,@,NYJ,L 6-20,True,10,4,51,12.75,0,40.0%,5.10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,62,98%,0,0%,0,0%,True,Kenny Stills
2017,2017-10-01,3,4,25.162,MIA,,NOR,L 0-20,True,3,3,13,4.33,0,100.0%,4.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,1,0,0,0,0,0,47,90%,0,0%,0,0%,False,Kenny Stills
2017,2017-10-08,4,5,25.169,MIA,,TEN,W 16-10,True,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,51,86%,0,0%,0,0%,False,Kenny Stills
2017,2017-10-15,5,6,25.176,MIA,@,ATL,W 20-17,True,4,4,49,12.25,1,100.0%,12.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,60,90%,0,0%,0,0%,True,Kenny Stills
2017,2017-10-22,6,7,25.183,MIA,,NYJ,W 31-28,True,9,6,85,14.17,2,66.7%,9.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0,0,0,0,0,0,72,99%,0,0%,0,0%,False,Kenny Stills
2017,2017-10-26,7,8,25.187,MIA,@,BAL,L 0-40,True,10,5,65,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,64,97%,0,0%,0,0%,True,Kenny Stills
2017,2017-11-05,8,9,25.197,MIA,,OAK,L 24-27,True,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,65,97%,0,0%,0,0%,False,Kenny Stills
2017,2017-11-13,9,10,25.205,MIA,@,CAR,L 21-45,True,8,5,67,13.40,0,62.5%,8.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,True,Kenny Stills
