Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,23.077,TAM,CAR,L 14-20,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,2,8%,False,Patrick Murray,False,14,20
2014.0,2014-09-14,2.0,2.0,23.084,TAM,STL,L 17-19,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0%,0,0%,4,17%,False,Patrick Murray,False,17,19
2014.0,2014-09-18,3.0,3.0,23.088,TAM,ATL,L 14-56,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,2,6%,True,Patrick Murray,False,14,56
2014.0,2014-09-28,4.0,4.0,23.098,TAM,PIT,W 27-24,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,5,17%,True,Patrick Murray,True,27,24
2014.0,2014-10-05,5.0,5.0,23.105,TAM,NOR,L 31-37,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,5,16%,True,Patrick Murray,False,31,37
2014.0,2014-10-12,6.0,6.0,23.112,TAM,BAL,L 17-48,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0%,0,0%,4,12%,False,Patrick Murray,False,17,48
2014.0,2014-10-26,7.0,8.0,23.126,TAM,MIN,L 13-19,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,3,10%,False,Patrick Murray,False,13,19
2014.0,2014-11-02,8.0,9.0,23.133,TAM,CLE,L 17-22,False,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,,,0,0%,0,0%,5,19%,True,Patrick Murray,False,17,22
2014.0,2014-11-09,9.0,10.0,23.14,TAM,ATL,L 17-27,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,3,12%,False,Patrick Murray,False,17,27
2014.0,2014-11-16,10.0,11.0,23.147,TAM,WAS,W 27-7,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,5,21%,True,Patrick Murray,True,27,7
2014.0,2014-11-23,11.0,12.0,23.154,TAM,CHI,L 13-21,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,3,10%,True,Patrick Murray,False,13,21
2014.0,2014-11-30,12.0,13.0,23.161,TAM,CIN,L 13-14,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,3,12%,False,Patrick Murray,False,13,14
2014.0,2014-12-07,13.0,14.0,23.168,TAM,DET,L 17-34,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,3,10%,True,Patrick Murray,False,17,34
2014.0,2014-12-14,14.0,15.0,23.175,TAM,CAR,L 17-19,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,3,11%,True,Patrick Murray,False,17,19
2014.0,2014-12-21,15.0,16.0,23.182,TAM,GNB,L 3-20,False,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0%,0,0%,1,5%,False,Patrick Murray,False,3,20
2014.0,2014-12-28,16.0,17.0,23.189,TAM,NOR,L 20-23,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,4,17%,False,Patrick Murray,False,20,23
2016.0,2016-09-11,1.0,1.0,25.081,CLE,PHI,L 10-29,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0%,0,0%,5,17%,True,Patrick Murray,False,10,29
2016.0,2016-09-18,2.0,2.0,25.088,CLE,BAL,L 20-25,False,2,3,66.7,,1,0.0,0,2,0.0,1,0,1,0,0,0,0%,0,0%,8,31%,False,Patrick Murray,False,20,25
2016.0,2016-09-25,3.0,3.0,,CLE,MIA,L 24-30,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Patrick Murray,False,24,30
2016.0,2016-10-02,4.0,4.0,,CLE,WAS,L 20-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Patrick Murray,False,20,31
2016.0,2016-10-09,5.0,5.0,,CLE,NWE,L 13-33,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Patrick Murray,False,13,33
2016.0,2016-10-16,6.0,6.0,,CLE,TEN,L 26-28,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Patrick Murray,False,26,28
2016.0,2016-10-23,7.0,7.0,,CLE,CIN,L 17-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Patrick Murray,False,17,31
2016.0,2016-10-30,8.0,8.0,,CLE,NYJ,L 28-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Patrick Murray,False,28,31
2016.0,2016-11-06,9.0,9.0,,CLE,DAL,L 10-35,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Patrick Murray,False,10,35
2016.0,2016-11-10,10.0,10.0,,CLE,BAL,L 7-28,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Patrick Murray,False,7,28
2016.0,2016-11-20,11.0,11.0,,CLE,PIT,L 9-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Patrick Murray,False,9,24
2016.0,2016-11-27,12.0,12.0,,CLE,NYG,L 13-27,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Patrick Murray,False,13,27
2016.0,2016-12-11,13.0,14.0,,CLE,CIN,L 10-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Patrick Murray,False,10,23
2016.0,2016-12-18,14.0,15.0,,CLE,BUF,L 13-33,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Patrick Murray,False,13,33
2017.0,2017-10-15,5.0,6.0,26.115,TAM,ARI,L 33-38,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0%,0,0%,7,27%,True,Patrick Murray,False,33,38
2017.0,2017-10-22,6.0,7.0,26.122,TAM,BUF,L 27-30,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,38%,True,Patrick Murray,False,27,30
2017.0,2017-10-29,7.0,8.0,26.129,TAM,CAR,L 3-17,False,,,,1,1,100.0,0,3,0.0,1,0,1,0,0,0,0%,0,0%,3,13%,False,Patrick Murray,False,3,17
2017.0,2017-11-05,8.0,9.0,26.136,TAM,NOR,L 10-30,False,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,0%,0,0%,6,22%,True,Patrick Murray,False,10,30
2017.0,2017-11-12,9.0,10.0,26.143,TAM,NYJ,W 15-10,False,,,,3,3,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,8,32%,False,Patrick Murray,True,15,10
2017.0,2017-11-19,10.0,11.0,26.15,TAM,MIA,W 30-20,False,3,3,100.0,3,4,75.0,0,12,0.0,0,0,0,,,0,0%,0,0%,13,43%,True,Patrick Murray,True,30,20
2017.0,2017-11-26,11.0,12.0,26.157,TAM,ATL,L 20-34,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,9,35%,True,Patrick Murray,False,20,34
2017.0,2017-12-03,12.0,13.0,26.164,TAM,GNB,L 20-26,False,2,2,100.0,2,2,100.0,0,8,0.0,1,0,1,0,0,0,0%,0,0%,10,36%,True,Patrick Murray,False,20,26
2017.0,2017-12-10,13.0,14.0,26.171,TAM,DET,L 21-24,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0%,0,0%,7,29%,False,Patrick Murray,False,21,24
2017.0,2017-12-18,14.0,15.0,26.179,TAM,ATL,L 21-24,False,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,,,0,0%,0,0%,8,31%,False,Patrick Murray,False,21,24
2017.0,2017-12-24,15.0,16.0,26.185,TAM,CAR,L 19-22,False,1,1,100.0,4,5,80.0,0,13,0.0,0,0,0,,,0,0%,0,0%,12,43%,True,Patrick Murray,False,19,22
2017.0,2017-12-31,16.0,17.0,26.192,TAM,NOR,W 31-24,False,2,3,66.7,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,10,38%,False,Patrick Murray,True,31,24
,30 Games,,,,,,5-25-0,False,55,57,96.5,40,49,81.6,0,175,0.0,3,0,3,0,0,,,,,,,False,Patrick Murray,False,25,0
