Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-11-08,8,9,23.142,PIT,CIN,True,22,99,4.50,1,3,3,31,10.33,0,100.0%,10.33,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,27,21,Rashard Mendenhall
2010,2010-11-14,9,10,23.148,PIT,NWE,True,11,50,4.55,0,3,2,5,2.50,0,66.7%,1.67,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,26,39,Rashard Mendenhall
2010,2010-11-21,10,11,23.155,PIT,OAK,True,23,59,2.57,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,1,1,0,0,0,0,,,,,,,False,True,35,3,Rashard Mendenhall
2010,2010-11-28,11,12,23.162,PIT,BUF,True,36,151,4.19,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,1,1,0,0,0,0,,,,,,,True,True,19,16,Rashard Mendenhall
2010,2010-12-05,12,13,23.169,PIT,BAL,True,19,45,2.37,0,7,3,18,6.00,0,42.9%,2.57,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,13,10,Rashard Mendenhall
2010,2010-12-12,13,14,23.176,PIT,CIN,True,18,66,3.67,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,23,7,Rashard Mendenhall
2010,2010-12-19,14,15,23.183,PIT,NYJ,True,17,99,5.82,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,False,17,22,Rashard Mendenhall
2010,2010-12-23,15,16,23.187,PIT,CAR,True,18,65,3.61,1,2,2,18,9.00,0,100.0%,9.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,27,3,Rashard Mendenhall
2010,2011-01-02,16,17,23.197,PIT,CLE,True,14,36,2.57,2,1,1,24,24.00,0,100.0%,24.00,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,True,True,41,9,Rashard Mendenhall
2011,2011-09-11,1,1,24.084,PIT,BAL,True,12,45,3.75,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,True,False,7,35,Rashard Mendenhall
2011,2011-09-18,2,2,24.091,PIT,SEA,True,19,66,3.47,1,2,2,12,6.00,0,100.0%,6.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,24,0,Rashard Mendenhall
2011,2011-09-25,3,3,24.098,PIT,IND,True,18,37,2.06,0,4,3,9,3.00,0,75.0%,2.25,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,23,20,Rashard Mendenhall
2011,2011-10-02,4,4,24.105,PIT,HOU,True,9,25,2.78,1,2,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,10,17,Rashard Mendenhall
2011,2011-10-09,5,5,,PIT,TEN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,38,17,Rashard Mendenhall
2011,2011-10-16,6,6,24.119,PIT,JAX,True,23,146,6.35,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,17,13,Rashard Mendenhall
2011,2011-10-23,7,7,24.126,PIT,ARI,True,13,32,2.46,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,32,20,Rashard Mendenhall
2011,2011-10-30,8,8,24.133,PIT,NWE,True,13,70,5.38,0,4,3,22,7.33,0,75.0%,5.50,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,25,17,Rashard Mendenhall
2011,2011-11-06,9,9,24.140,PIT,BAL,True,13,52,4.00,1,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,False,20,23,Rashard Mendenhall
2011,2011-11-13,10,10,24.147,PIT,CIN,True,16,44,2.75,2,3,1,26,26.00,0,33.3%,8.67,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,True,True,24,17,Rashard Mendenhall
2011,2011-11-27,11,12,24.161,PIT,KAN,True,17,57,3.35,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,13,9,Rashard Mendenhall
2011,2011-12-04,12,13,24.168,PIT,CIN,True,16,60,3.75,2,0,0,0,,0,0.0%,,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,True,35,7,Rashard Mendenhall
2011,2011-12-08,13,14,24.172,PIT,CLE,True,18,76,4.22,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,14,3,Rashard Mendenhall
2011,2011-12-19,14,15,24.183,PIT,SFO,True,15,64,4.27,0,4,3,25,8.33,0,75.0%,6.25,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,3,20,Rashard Mendenhall
2011,2011-12-24,15,16,24.188,PIT,STL,True,18,116,6.44,1,1,1,35,35.00,0,100.0%,35.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,27,0,Rashard Mendenhall
2011,2012-01-01,16,17,24.196,PIT,CLE,True,8,38,4.75,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,13,9,Rashard Mendenhall
2012,2012-09-09,1,1,,PIT,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,19,31,Rashard Mendenhall
2012,2012-09-16,2,2,,PIT,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,27,10,Rashard Mendenhall
2012,2012-09-23,3,3,,PIT,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,31,34,Rashard Mendenhall
2012,2012-10-07,4,5,25.110,PIT,PHI,True,13,68,5.23,0,3,3,33,11.00,1,100.0%,11.00,0,0,,0,,1,6,1,0,0,0,0,0,22,30%,0,0%,0,0%,False,True,16,14,Rashard Mendenhall
2012,2012-10-11,5,6,25.114,PIT,TEN,True,6,6,1.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0,0,0,0,0,0,16,25%,0,0%,0,0%,True,False,23,26,Rashard Mendenhall
2012,2012-10-21,6,7,,PIT,CIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,24,17,Rashard Mendenhall
2012,2012-10-28,7,8,,PIT,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,27,12,Rashard Mendenhall
2012,2012-11-04,8,9,,PIT,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,24,20,Rashard Mendenhall
2012,2012-11-12,9,10,,PIT,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,16,13,Rashard Mendenhall
2012,2012-11-18,10,11,25.152,PIT,BAL,True,11,33,3.00,0,4,3,17,5.67,0,75.0%,4.25,0,0,,0,,0,0,0,0,0,0,0,0,29,40%,0,0%,0,0%,False,False,10,13,Rashard Mendenhall
2012,2012-11-25,11,12,25.159,PIT,CLE,True,4,6,1.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,2,1,0,0,0,0,8,13%,0,0%,0,0%,True,False,14,20,Rashard Mendenhall
2012,2012-12-02,12,13,,PIT,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,23,20,Rashard Mendenhall
2012,2012-12-09,13,14,,PIT,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,24,34,Rashard Mendenhall
2012,2012-12-16,14,15,,PIT,DAL,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,False,24,27,Rashard Mendenhall
2012,2012-12-23,15,16,25.187,PIT,CIN,False,11,50,4.55,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,16,25%,0,0%,0,0%,False,False,10,13,Rashard Mendenhall
2012,2012-12-30,16,17,25.194,PIT,CLE,False,6,19,3.17,0,2,2,1,0.50,0,100.0%,0.50,0,0,,0,,0,0,0,0,0,0,0,0,13,23%,0,0%,0,0%,False,True,24,10,Rashard Mendenhall
2013,2013-09-08,1,1,26.081,ARI,STL,True,16,60,3.75,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0,0,0,0,0,0,35,49%,0,0%,0,0%,True,False,24,27,Rashard Mendenhall
2013,2013-09-15,2,2,26.088,ARI,DET,True,15,66,4.40,1,2,2,28,14.00,0,100.0%,14.00,0,0,,0,,1,6,0,0,0,0,0,0,36,51%,0,0%,0,0%,False,True,25,21,Rashard Mendenhall
2013,2013-09-22,3,3,26.095,ARI,NOR,True,9,29,3.22,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,,0,0,0,0,0,0,0,0,23,40%,0,0%,0,0%,True,False,7,31,Rashard Mendenhall
2013,2013-09-29,4,4,26.102,ARI,TAM,True,12,21,1.75,0,4,3,13,4.33,0,75.0%,3.25,0,0,,0,,0,0,2,1,0,0,0,0,41,66%,0,0%,0,0%,True,True,13,10,Rashard Mendenhall
2013,2013-10-06,5,5,26.109,ARI,CAR,True,17,43,2.53,1,2,2,7,3.50,0,100.0%,3.50,0,0,,0,,1,6,0,0,0,0,0,0,30,48%,0,0%,0,0%,False,True,22,6,Rashard Mendenhall
2013,2013-10-13,6,6,26.116,ARI,SFO,True,10,40,4.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,0,0,0,0,0,0,0,0,22,33%,0,0%,0,0%,True,False,20,32,Rashard Mendenhall
2013,2013-10-17,7,7,26.120,ARI,SEA,True,13,22,1.69,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,0,0,0,0,0,24,32%,0,0%,0,0%,False,False,22,34,Rashard Mendenhall
2013,2013-10-27,8,8,,ARI,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,27,13,Rashard Mendenhall
2013,2013-11-10,9,10,26.144,ARI,HOU,True,13,42,3.23,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,1,1,0,0,0,0,26,39%,0,0%,0,0%,False,True,27,24,Rashard Mendenhall
2013,2013-11-17,10,11,26.151,ARI,JAX,True,12,14,1.17,1,3,3,13,4.33,0,100.0%,4.33,0,0,,0,,1,6,0,0,0,0,0,0,35,51%,0,0%,0,0%,True,True,27,14,Rashard Mendenhall
2013,2013-11-24,11,12,26.158,ARI,IND,True,13,54,4.15,1,2,1,24,24.00,0,50.0%,12.00,0,0,,0,,1,6,0,0,0,0,0,0,30,40%,0,0%,0,0%,False,True,40,11,Rashard Mendenhall
2013,2013-12-01,12,13,26.165,ARI,PHI,True,18,76,4.22,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,36,51%,0,0%,0,0%,True,False,21,24,Rashard Mendenhall
2013,2013-12-08,13,14,26.172,ARI,STL,True,17,41,2.41,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,0,0,0,0,0,33,49%,0,0%,0,0%,False,True,30,10,Rashard Mendenhall
2013,2013-12-15,14,15,26.179,ARI,TEN,True,21,69,3.29,2,2,1,9,9.00,0,50.0%,4.50,0,0,,0,,2,12,0,0,0,0,0,0,31,46%,0,0%,0,0%,True,True,37,34,Rashard Mendenhall
2013,2013-12-22,15,16,26.186,ARI,SEA,True,21,63,3.00,0,0,0,0,,0,0.0%,,0,0,,0,1,0,2,0,0,0,0,0,0,31,41%,0,0%,0,0%,True,True,17,10,Rashard Mendenhall
2013,2013-12-29,16,17,26.193,ARI,SFO,True,10,47,4.70,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,0,0,1,1,0,0,0,0,26,36%,0,0%,0,0%,False,False,20,23,Rashard Mendenhall
,72 Games,,,,,,False,1081,4236,3.92,37,128,95,795,8.37,2,74.2%,6.21,7,123,17.57,0,1,39,236,13,10,0,1,0,0,,,,,,,False,False,26,0,Rashard Mendenhall
